Back,,,,Chrome,Firefox,IE,,,,,,
ID_016,,"Kiểm tra placeholder field
Group 2 ""Thông tin khách hàng""","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","- Group 2 ""Thông tin khách hàng"":
+ Field ""Tên khách hàng"" => Field load theo ""Khách hàng"" được chọn nên không có placeholder",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,Dư field Mã KH tiềm năng
ID_017,,"Kiểm tra placeholder field
Group 3 ""Thông tin thanh toán""","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","- Group 3 ""Thông tin thanh toán"":
+ <Hidden on create>",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,Dư field Mã KH tiềm năng
ID_018,,"Kiểm tra placeholder field
Group 4 ""Thông tin xuất hóa đơn""","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","- Group 4 ""Thông tin xuất hóa đơn"": Gồm 7 field:
+ Field ""Ngân hàng tham chiếu tỷ giá"" có placeholder = ""Ngân hàng tham chiếu tỷ giá""
+ Field ""Tỷ giá tham chiếu"" có placeholder = ""Tỷ giá tham chiếu""
+ Field ""Tài khoản xuất hóa đơn"" có placeholder = ""Tài khoản xuất hóa đơn""
+ Field ""Tên xuất hóa đơn"" có placeholder = ""Tên xuất hóa đơn""
+ Field ""Địa chỉ xuất hóa đơn"" có placeholder = ""Địa chỉ xuất hóa đơn""
+ Field ""Mã số thuế xuất hóa đơn"" có placeholder = ""Mã số thuế xuất hóa đơn""
+ Field ""Tỷ giá"" => Field load theo ""Tỷ giá tham chiếu"" được chọn nên không có placeholder",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_019,,"Kiểm tra placeholder field
Group 5 ""Thông tin vận chuyển""
Trường hợp ""Kho WMS"" = false và ""Yêu cầu vận chuyển"" = false","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","- Group 5 ""Thông tin vận chuyển"":
+ Field ""Tổ chức xuất hàng"" có placeholder = ""Tổ chức xuất hàng""
+ Field ""Kho xuất hàng"" có placeholder = ""Kho xuất hàng""
+ Field ""Địa chỉ kho xuất hàng"" có placeholder = ""Địa chỉ kho xuất hàng""
+ Field ""Địa chỉ giao hàng"" có placeholder = ""Địa chỉ giao hàng""
+ Field ""Giao hàng từ ngày"" có placeholder = ""Giao hàng từ ngày""
+ Field ""Giao hàng đến ngày"" có placeholder = ""Giao hàng đến ngày""
+ Field ""Ngày giao hàng"" xuất hóa đơn"" có placeholder = ""Ngày giao hàng""
+ Field ""Ngày nhận hàng dự kiến"" xuất hóa đơn"" có placeholder = ""Ngày nhận hàng dự kiến""
+ Field ""Người nhận hàng"" xuất hóa đơn"" có placeholder = ""Người nhận hàng""
+ Field ""Phương thức giao hàng"" xuất hóa đơn"" có placeholder = ""Phương thức giao hàng""
+ Field ""Xe vận chuyển"" có placeholder = ""Xe vận chuyển""
+ Field ""Đơn vị vận chuyển"" có placeholder = ""Đơn vị vận chuyển""
+ Field ""Đối tác vận chuyển"" có placeholder = ""Đối tác vận chuyển""
+ Field ""Bảng giá vận chuyển"" có placeholder = ""Bảng giá vận chuyển""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_020,,"Kiểm tra placeholder field
Group 5 ""Thông tin vận chuyển""
Trường hợp ""Kho WMS"" = false và ""Yêu cầu vận chuyển"" = true","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","- Group 5 ""Thông tin vận chuyển"":
+ Field ""Tổ chức xuất hàng"" có placeholder = ""Tổ chức xuất hàng""
+ Field ""Kho xuất hàng"" có placeholder = ""Kho xuất hàng""
+ Field ""Địa chỉ kho xuất hàng"" có placeholder = ""Địa chỉ kho xuất hàng""
+ Field ""Địa chỉ giao hàng"" có placeholder = ""Địa chỉ giao hàng""
+ Field ""Giao hàng từ ngày"" có placeholder = ""Giao hàng từ ngày""
+ Field ""Giao hàng đến ngày"" có placeholder = ""Giao hàng đến ngày""
+ Field ""Ngày giao hàng"" xuất hóa đơn"" có placeholder = ""Ngày giao hàng""
+ Field ""Ngày nhận hàng dự kiến"" xuất hóa đơn"" có placeholder = ""Ngày nhận hàng dự kiến""
+ Field ""Người nhận hàng"" xuất hóa đơn"" có placeholder = ""Người nhận hàng""
+ Field ""Phương thức giao hàng"" xuất hóa đơn"" có placeholder = ""Phương thức giao hàng""
+ Field ""Xe vận chuyển"" có placeholder = ""Xe vận chuyển""
+ Field ""Đơn vị vận chuyển"" có placeholder = ""Đơn vị vận chuyển""
+ Field ""Đối tác vận chuyển"" có placeholder = ""Đối tác vận chuyển""
+ Field ""Bảng giá vận chuyển"" có placeholder = ""Bảng giá vận chuyển""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_021,,"Kiểm tra placeholder field
Group 5 ""Thông tin vận chuyển""
Trường hợp ""Kho WMS"" = true và ""Yêu cầu vận chuyển"" = false","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","- Group 5 ""Thông tin vận chuyển"":
+ Field ""Tổ chức xuất hàng"" có placeholder = ""Tổ chức xuất hàng""
+ Field ""Kho xuất hàng"" có placeholder = ""Kho xuất hàng""
+ Field ""Địa chỉ kho xuất hàng"" có placeholder = ""Địa chỉ kho xuất hàng""
+ Field ""Địa chỉ giao hàng"" có placeholder = ""Địa chỉ giao hàng""
+ Field ""Giao hàng từ ngày"" có placeholder = ""Giao hàng từ ngày""
+ Field ""Giao hàng đến ngày"" có placeholder = ""Giao hàng đến ngày""
+ Field ""Ngày giao hàng"" xuất hóa đơn"" có placeholder = ""Ngày giao hàng""
+ Field ""Ngày nhận hàng dự kiến"" xuất hóa đơn"" có placeholder = ""Ngày nhận hàng dự kiến""
+ Field ""Người nhận hàng"" xuất hóa đơn"" có placeholder = ""Người nhận hàng""
+ Field ""Phương thức giao hàng"" xuất hóa đơn"" có placeholder = ""Phương thức giao hàng""
+ Field ""Xe vận chuyển"" có placeholder = ""Xe vận chuyển""
+ Field ""Đơn vị vận chuyển"" có placeholder = ""Đơn vị vận chuyển""
+ Field ""Đối tác vận chuyển"" có placeholder = ""Đối tác vận chuyển""
+ Field ""Bảng giá vận chuyển"" có placeholder = ""Bảng giá vận chuyển""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_022,,"Kiểm tra placeholder field
Group 5 ""Thông tin vận chuyển""
Trường hợp ""Kho WMS"" = true và ""Yêu cầu vận chuyển"" = true","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","- Group 5 ""Thông tin vận chuyển"":
+ Field ""Tổ chức xuất hàng"" có placeholder = ""Tổ chức xuất hàng""
+ Field ""Kho xuất hàng"" có placeholder = ""Kho xuất hàng""
+ Field ""Địa chỉ kho xuất hàng"" có placeholder = ""Địa chỉ kho xuất hàng""
+ Field ""Địa chỉ giao hàng"" có placeholder = ""Địa chỉ giao hàng""
+ Field ""Giao hàng từ ngày"" có placeholder = ""Giao hàng từ ngày""
+ Field ""Giao hàng đến ngày"" có placeholder = ""Giao hàng đến ngày""
+ Field ""Ngày giao hàng"" xuất hóa đơn"" có placeholder = ""Ngày giao hàng""
+ Field ""Ngày nhận hàng dự kiến"" xuất hóa đơn"" có placeholder = ""Ngày nhận hàng dự kiến""
+ Field ""Người nhận hàng"" xuất hóa đơn"" có placeholder = ""Người nhận hàng""
+ Field ""Phương thức giao hàng"" xuất hóa đơn"" có placeholder = ""Phương thức giao hàng""
+ Field ""Xe vận chuyển"" có placeholder = ""Xe vận chuyển""
+ Field ""Đơn vị vận chuyển"" có placeholder = ""Đơn vị vận chuyển""
+ Field ""Đối tác vận chuyển"" có placeholder = ""Đối tác vận chuyển""
+ Field ""Bảng giá vận chuyển"" có placeholder = ""Bảng giá vận chuyển""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_023,,"Kiểm tra placeholder field
Group 6 ""Thông tin bốc xếp""
Trường hợp ""Yêu cầu bốc xếp"" = false","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","- Group 6 ""Thông tin bốc xếp"": Gồm 1 field:
+ Field ""Yêu cầu bốc xếp"" => Field checkbox nên không có placeholder",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_024,,"Kiểm tra placeholder field
Group 6 ""Thông tin bốc xếp""
Trường hợp ""Yêu cầu bốc xếp"" = true","1. Login vào Client Portal
2. Left menu: Chọn ""Báo giá""
3. Màn hình ""Quản lý báo giá"" chọn button ""Thêm mới""","- Group 6 ""Thông tin bốc xếp"": Gồm 3 field:
+ Field ""Phương thức bốc xếp"" có placeholder = ""Phương thức bốc xếp""
+ Field ""Bảng giá bốc xếp"" có placeholder = ""Bảng giá bốc xếp""
+ Field ""Yêu cầu bốc xếp"" => Field checkbox nên không có placeholder",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_025,,Kiểm tra currency unit field,N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
